table,rows_in,rows_out,rejected,runtime_s,error,timestamp
companies,92,92,0,0.404,,2026-07-15T18:14:51.219382
profitandloss,1276,1161,103,0.14,,2026-07-15T18:14:51.359053
balancesheet,1312,1220,5,0.134,,2026-07-15T18:14:51.494325
cashflow,1187,1152,0,0.133,,2026-07-15T18:14:51.627552
analysis,20,20,0,0.012,,2026-07-15T18:14:51.640432
documents,1585,1585,0,0.066,,2026-07-15T18:14:51.706454
prosandcons,16,16,0,0.008,,2026-07-15T18:14:51.714603
sectors,92,92,0,0.015,,2026-07-15T18:14:51.730071
stock_prices,5520,5520,0,0.455,,2026-07-15T18:14:52.186130
market_cap,552,552,0,0.054,,2026-07-15T18:14:52.243820
financial_ratios,1184,1184,0,0.14,,2026-07-15T18:14:52.386075
peer_groups,56,56,0,0.009,,2026-07-15T18:14:52.396072
