table,row_index,field,raw_value,issue,severity
profitandloss,12,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,24,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,37,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,46,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,59,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,72,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,85,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,96,year,Mar 2023 15,UNPARSEABLE_YEAR,CRITICAL
profitandloss,98,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,111,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,124,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,132,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,145,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,158,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,171,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,184,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,195,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,208,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,221,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,234,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,247,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,260,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,273,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,286,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,299,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,312,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,325,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,338,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,351,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,364,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,377,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,390,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,403,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,416,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,429,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,442,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,455,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,468,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,481,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,485,year,Mar 2016 9m,UNPARSEABLE_YEAR,CRITICAL
profitandloss,494,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,507,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,520,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,532,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,545,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,558,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,571,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,584,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,597,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,610,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,623,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,636,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,647,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,660,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,673,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,686,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,689,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,702,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,715,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,728,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,735,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,748,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,761,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,774,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,787,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,800,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,813,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,826,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,839,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,852,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,865,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,878,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,891,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,904,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,917,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,930,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,943,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,956,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,969,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,982,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,986,year,Mar 2016 9m,UNPARSEABLE_YEAR,CRITICAL
profitandloss,995,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,1008,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,1033,year,TTM,UNPARSEABLE_YEAR,CRITICAL
profitandloss,1046,year,TTM,UNPARSEABLE_YEAR,CRITICAL
