company_id,from_year,to_year,from_pattern,to_pattern
ABB,2012-12,2014-03,Reinvestor,Cash Accumulator
ABB,2014-03,2015-03,Cash Accumulator,Growth Funded by Debt
ABB,2015-03,2016-03,Growth Funded by Debt,Shareholder Returns
ABB,2017-03,2018-03,Shareholder Returns,Mixed
ABB,2020-03,2021-03,Mixed,Shareholder Returns
ABB,2022-03,2023-03,Shareholder Returns,Mixed
ABB,2023-03,2024-03,Mixed,Shareholder Returns
ADANIENSOL,2014-03,2015-03,Cash Accumulator,Growth Funded by Debt
ADANIENSOL,2015-03,2016-03,Growth Funded by Debt,Shareholder Returns
ADANIENSOL,2017-03,2018-03,Shareholder Returns,Mixed
ADANIENSOL,2020-03,2021-03,Mixed,Shareholder Returns
ADANIENSOL,2022-03,2023-03,Shareholder Returns,Mixed
ADANIENSOL,2023-03,2024-03,Mixed,Shareholder Returns
ADANIENT,2013-03,2014-03,Mixed,Shareholder Returns
ADANIENT,2014-03,2015-03,Shareholder Returns,Mixed
ADANIENT,2015-03,2016-03,Mixed,Shareholder Returns
ADANIENT,2016-03,2017-03,Shareholder Returns,Mixed
ADANIENT,2018-03,2019-03,Mixed,Liquidating Assets
ADANIENT,2019-03,2020-03,Liquidating Assets,Shareholder Returns
ADANIENT,2020-03,2021-03,Shareholder Returns,Mixed
ADANIENT,2022-03,2023-03,Mixed,Shareholder Returns
ADANIENT,2023-03,2024-03,Shareholder Returns,Mixed
ADANIGREEN,2022-03,2023-03,Mixed,Shareholder Returns
ADANIGREEN,2023-03,2024-03,Shareholder Returns,Mixed
ADANIPORTS,2014-03,2015-03,Mixed,Reinvestor
ADANIPORTS,2015-03,2016-03,Reinvestor,Mixed
ADANIPORTS,2016-03,2017-03,Mixed,Reinvestor
ADANIPORTS,2017-03,2018-03,Reinvestor,Shareholder Returns
ADANIPORTS,2018-03,2019-03,Shareholder Returns,Mixed
ADANIPORTS,2019-03,2020-03,Mixed,Shareholder Returns
ADANIPORTS,2020-03,2021-03,Shareholder Returns,Mixed
ADANIPORTS,2021-03,2022-03,Mixed,Shareholder Returns
ADANIPOWER,2014-03,2015-03,Mixed,Reinvestor
ADANIPOWER,2015-03,2016-03,Reinvestor,Shareholder Returns
ADANIPOWER,2016-03,2017-03,Shareholder Returns,Reinvestor
ADANIPOWER,2020-03,2021-03,Reinvestor,Shareholder Returns
ADANIPOWER,2021-03,2022-03,Shareholder Returns,Liquidating Assets
AMBUJACEM,2014-12,2015-12,Reinvestor,Shareholder Returns
AMBUJACEM,2017-12,2018-12,Shareholder Returns,Reinvestor
AMBUJACEM,2018-12,2019-12,Reinvestor,Shareholder Returns
AMBUJACEM,2020-12,2021-12,Shareholder Returns,Reinvestor
AMBUJACEM,2021-12,2023-03,Reinvestor,Mixed
APOLLOHOSP,2013-03,2014-03,Mixed,Reinvestor
APOLLOHOSP,2014-03,2015-03,Reinvestor,Mixed
APOLLOHOSP,2017-03,2018-03,Mixed,Shareholder Returns
ATGL,2018-03,2019-03,Mixed,Liquidating Assets
ATGL,2019-03,2020-03,Liquidating Assets,Reinvestor
ATGL,2020-03,2021-03,Reinvestor,Mixed
ATGL,2023-03,2024-03,Mixed,Reinvestor
AXISBANK,2014-03,2015-03,Mixed,Growth Funded by Debt
AXISBANK,2015-03,2016-03,Growth Funded by Debt,Distress Signal
AXISBANK,2016-03,2017-03,Distress Signal,Shareholder Returns
AXISBANK,2017-03,2018-03,Shareholder Returns,Growth Funded by Debt
AXISBANK,2018-03,2019-03,Growth Funded by Debt,Mixed
AXISBANK,2023-03,2024-03,Mixed,Growth Funded by Debt
BAJAJ-AUTO,2019-03,2020-03,Reinvestor,Liquidating Assets
BAJAJ-AUTO,2020-03,2021-03,Liquidating Assets,Reinvestor
BAJAJ-AUTO,2021-03,2022-03,Reinvestor,Liquidating Assets
BAJAJ-AUTO,2023-03,2024-03,Liquidating Assets,Reinvestor
BAJAJFINSV,2015-03,2016-03,Distress Signal,Growth Funded by Debt
BAJAJFINSV,2016-03,2017-03,Growth Funded by Debt,Distress Signal
BAJAJFINSV,2017-03,2018-03,Distress Signal,Growth Funded by Debt
BAJAJFINSV,2020-03,2021-03,Growth Funded by Debt,Mixed
BAJAJFINSV,2021-03,2022-03,Mixed,Distress Signal
BAJAJFINSV,2022-03,2023-03,Distress Signal,Growth Funded by Debt
BAJAJHLDNG,2015-03,2016-03,Reinvestor,Liquidating Assets
BAJAJHLDNG,2016-03,2017-03,Liquidating Assets,Pre-Revenue
BAJAJHLDNG,2017-03,2018-03,Pre-Revenue,Reinvestor
BAJFINANCE,2017-03,2018-03,Growth Funded by Debt,Distress Signal
BAJFINANCE,2018-03,2019-03,Distress Signal,Growth Funded by Debt
BAJFINANCE,2021-03,2022-03,Growth Funded by Debt,Distress Signal
BAJFINANCE,2022-03,2023-03,Distress Signal,Growth Funded by Debt
BANKBARODA,2013-03,2014-03,Shareholder Returns,Mixed
BANKBARODA,2014-03,2015-03,Mixed,Shareholder Returns
BANKBARODA,2015-03,2016-03,Shareholder Returns,Pre-Revenue
BANKBARODA,2016-03,2017-03,Pre-Revenue,Shareholder Returns
BANKBARODA,2017-03,2018-03,Shareholder Returns,Growth Funded by Debt
BANKBARODA,2019-03,2020-03,Growth Funded by Debt,Mixed
BANKBARODA,2020-03,2021-03,Mixed,Pre-Revenue
BANKBARODA,2021-03,2022-03,Pre-Revenue,Reinvestor
BANKBARODA,2022-03,2023-03,Reinvestor,Pre-Revenue
BANKBARODA,2023-03,2024-03,Pre-Revenue,Growth Funded by Debt
BEL,2014-03,2015-03,Asset Sale Funded Repayment,Reinvestor
BEL,2015-03,2016-03,Reinvestor,Shareholder Returns
BEL,2016-03,2017-03,Shareholder Returns,Asset Sale Funded Repayment
BEL,2017-03,2018-03,Asset Sale Funded Repayment,Pre-Revenue
