company_id,company_name,sector,P/E,sector_median_PE,PE_vs_sector_median_pct,FCF_yield_pct,flag
SBILIFE,SBI Life Insurance Company Ltd,Financials,69.98,34.24,104.38084112149532,-0.23688132542403253,Caution
BAJFINANCE,Bajaj Finance Ltd,Financials,69.2,34.24,102.10280373831775,-3.2317922805711454,Caution
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,76.23,38.005,100.57887120115774,0.9056027172386589,Caution
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,68.53,34.24,100.14602803738318,-3.608906905151208,Caution
DMART,Avenue Supermarts Ltd,Consumer Discretionary,72.53,38.005,90.84331009077752,0.00910553222430331,Caution
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,67.07,38.005,76.47677937113535,3.000651602734764,Caution
GRASIM,Grasim Industries Ltd,Industrials,79.35,47.155,68.27483829922593,-7.063967310949983,Caution
SBIN,State Bank of India,Financials,54.93,34.24,60.426401869158866,0.7563625783740417,Caution
ABB,Abbott India Ltd,Industrials,75.58,47.155,60.27992789735976,0.07127809977975783,Caution
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,60.44,38.005,59.03170635442703,0.05299874823631171,Caution
NHPC,"NHPC Ltd
",Energy,71.17,44.915,58.45485917844818,0.05573417784977254,Caution
BOSCHLTD,Bosch Ltd,Consumer Discretionary,58.43,38.005,53.7429285620313,0.05908701218425355,Caution
HAL,Hindustan Aeronautics Ltd,Industrials,71.89,47.155,52.454670766620715,0.06861811283803056,Caution
BPCL,Bharat Petroleum Corporation Ltd,Energy,68.15,44.915,51.731047534231344,5.422883218663305,Caution
NTPC,NTPC Ltd,Energy,30.8,44.915,-31.426026939775127,0.9521678733206076,Discount
NAUKRI,Info Edge (India) Ltd,Communication Services,32.88,48.33,-31.967721911855985,-0.026604025891463663,Discount
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,34.51,50.95,-32.26692836113838,1.8482736240750641,Discount
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,33.59,50.95,-34.072620215897935,-0.10280184353453976,Discount
LT,Larsen & Toubro Ltd,Industrials,30.8,47.155,-34.68349061605344,1.8179837675257147,Discount
PIDILITIND,Pidilite Industries Ltd,Materials,36.12,55.62,-35.059331175836036,0.588510137595519,Discount
IOC,"Indian Oil Corporation
",Energy,28.61,44.915,-36.30190359568073,2.794810104975634,Discount
BHEL,"Bharat Heavy Electricals Limited
",Industrials,29.8,47.155,-36.804156505142615,-0.4410671269170658,Discount
COALINDIA,Coal India Ltd,Materials,34.27,55.62,-38.38547285149226,2.9991751112119767,Discount
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,20.83,34.24,-39.164719626168235,0.006574879059013327,Discount
GAIL,GAIL (India) Ltd,Energy,25.84,44.915,-42.46910831570745,0.28461990353382827,Discount
INFY,Infosys Ltd,Information Technology,35.99,63.63,-43.43862957724344,1.808627454139422,Discount
PNB,Punjab National Bank,Financials,19.29,34.24,-43.6623831775701,-1.6126067787208855,Discount
JSWENERGY,JSW Energy Ltd,Energy,24.79,44.915,-44.80685739730602,-1.7705336124937798,Discount
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,20.78,38.005,-45.3229838179187,0.3282212496887102,Discount
BANKBARODA,Bank of Baroda,Financials,16.89,34.24,-50.671728971962615,-1.279081332956056,Discount
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,16.79,34.24,-50.96378504672898,-3.9650923712808046,Discount
SHREECEM,Shree Cement Ltd,Materials,25.87,55.62,-53.487953973390866,0.06115348347250073,Discount
BAJAJFINSV,Bajaj Finserv Ltd,Financials,15.07,34.24,-55.987149532710276,-4.180016339930263,Discount
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,15.62,38.005,-58.900144717800295,0.4001945575069012,Discount
ONGC,Oil & Natural Gas Corpn Ltd,Energy,18.15,44.915,-59.59033730379606,10.781545408672736,Discount
BEL,Bharat Electronics Ltd,Industrials,17.89,47.155,-62.06128724419467,-0.09337302073000636,Discount
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,14.22,38.005,-62.58387054334956,-0.2694648852484086,Discount
TATAPOWER,"Tata Power Company Ltd
",Energy,14.5,44.915,-67.71679839697205,0.2166615750083587,Discount
IRFC,Indian Railway Finance Corporation Ltd,Financials,9.81,34.24,-71.34929906542055,0.3019460457018293,Discount
TITAN,"Titan Company Ltd
",Consumer Discretionary,10.13,38.005,-73.34561241941849,0.0839572651499547,Discount
INDUSINDBK,IndusInd Bank Ltd,Financials,8.99,34.24,-73.74415887850468,-0.9664534641259643,Discount
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,9.54,38.005,-74.89803973161426,0.6329063689949501,Discount
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,11.73,47.06,-75.07437314067148,0.020845250072724943,Discount
TRENT,Trent Ltd,Consumer Discretionary,8.65,38.005,-77.23983686357059,0.14720244295143942,Discount
